#! FIELDS cv file.free der_cv
#! SET min_cv 0
#! SET max_cv 1
#! SET nbins_cv  101
#! SET periodic_cv false
    0.000000000 -199.259438687 -249.462868597
    0.010000000 -201.727467060 -244.117764398
    0.020000000 -204.141312976 -238.628368870
    0.030000000 -206.499593660 -233.006746860
    0.040000000 -208.801048016 -227.265160595
    0.050000000 -211.044538340 -221.416017748
    0.060000000 -213.229051512 -215.471818586
    0.070000000 -215.353699657 -209.445102467
    0.080000000 -217.417720261 -203.348393955
    0.090000000 -219.420475761 -197.194148840
    0.100000000 -221.361452580 -190.994700356
    0.110000000 -223.240259640 -184.762205863
    0.120000000 -225.056626338 -178.508594302
    0.130000000 -226.810400002 -172.245514699
    0.140000000 -228.501542844 -165.984285993
    0.150000000 -230.130128407 -159.735848485
    0.160000000 -231.696337553 -153.510717160
    0.170000000 -233.200453978 -147.318937151
    0.180000000 -234.642859305 -141.170041595
    0.190000000 -236.024027762 -135.073012133
    0.200000000 -237.344520482 -129.036242253
    0.210000000 -238.604979451 -123.067503722
    0.220000000 -239.806121136 -117.173916270
    0.230000000 -240.948729828 -111.361920729
    0.240000000 -242.033650733 -105.637255773
    0.250000000 -243.061782850 -100.004938396
    0.260000000 -244.034071675  -94.469248256
    0.270000000 -244.951501759  -89.033715973
    0.280000000 -245.815089184  -83.701115461
    0.290000000 -246.625873971  -78.473460335
    0.300000000 -247.384912473  -73.352004439
    0.310000000 -248.093269802  -68.337246474
    0.320000000 -248.752012318  -63.428938733
    0.330000000 -249.362200220  -58.626099872
    0.340000000 -249.924880295  -53.927031678
    0.350000000 -250.441078849  -49.329339721
    0.360000000 -250.911794861  -44.829957786
    0.370000000 -251.337993406  -40.425175955
    0.380000000 -251.720599371  -36.110672168
    0.390000000 -252.060491505  -31.881547110
    0.400000000 -252.358496836  -27.732362197
    0.410000000 -252.615385477  -23.657180477
    0.420000000 -252.831865862  -19.649610191
    0.430000000 -253.008580424  -15.702850770
    0.440000000 -253.146101744  -11.809740983
    0.450000000 -253.244929198   -7.962808987
    0.460000000 -253.305486103   -4.154323979
    0.470000000 -253.328117395   -0.376349166
    0.480000000 -253.313087836    3.379204249
    0.490000000 -253.260580766    7.120522369
    0.500000000 -253.170697410   10.855833502
    0.510000000 -253.043456727   14.593352967
    0.520000000 -252.878795818   18.341228109
    0.530000000 -252.676570877   22.107483853
    0.540000000 -252.436558684   25.899969065
    0.550000000 -252.158458632   29.726304052
    0.560000000 -251.841895265   33.593829468
    0.570000000 -251.486421327   37.509556921
    0.580000000 -251.091521289   41.480121537
    0.590000000 -250.656615343   45.511736756
    0.600000000 -250.181063833   49.610151584
    0.610000000 -249.664172104   53.780610547
    0.620000000 -249.105195734   58.027816542
    0.630000000 -248.503346125   62.355896791
    0.640000000 -247.857796411   66.768372071
    0.650000000 -247.167687670   71.268129365
    0.660000000 -246.432135377   75.857398081
    0.670000000 -245.650236087   80.537729950
    0.680000000 -244.821074297   85.309982681
    0.690000000 -243.943729447   90.174307465
    0.700000000 -243.017283040   95.130140359
    0.710000000 -242.040825812  100.176197576
    0.720000000 -241.013464943  105.310474695
    0.730000000 -239.934331246  110.530249753
    0.740000000 -238.802586319  115.832090201
    0.750000000 -237.617429590  121.211863634
    0.760000000 -236.378105254  126.664752237
    0.770000000 -235.083909040  132.185270825
    0.780000000 -233.734194772  137.767288367
    0.790000000 -232.328380717  143.404052841
    0.800000000 -230.865955647  149.088219269
    0.810000000 -229.346484622  154.811880763
    0.820000000 -227.769614443  160.566602374
    0.830000000 -226.135078746  166.343457560
    0.840000000 -224.442702732  172.133067050
    0.850000000 -222.692407486  177.925639871
    0.860000000 -220.884213886  183.711016320
    0.870000000 -219.018246063  189.478712616
    0.880000000 -217.094734414  195.217966999
    0.890000000 -215.114018150  200.917787013
    0.900000000 -213.076547357  206.566997717
    0.910000000 -210.982884580  212.154290567
    0.920000000 -208.833705911  217.668272702
    0.930000000 -206.629801589  223.097516385
    0.940000000 -204.372076096  228.430608336
    0.950000000 -202.061547773  233.656198710
    0.960000000 -199.699347938  238.763049468
    0.970000000 -197.286719534  243.740081913
    0.980000000 -194.825015299  248.576423148
    0.990000000 -192.315695481  253.261451245
    1.000000000 -189.760325113  257.784838907
